id,tokens,tags
10,"['Se' 'supone' 'que' 'los' 'niveles' 'de' 'contaminación' 'del' 'aire'
 'por' 'debajo' 'del' 'umbral' 'para' 'cada' 'efecto' 'de' 'salud'
 'estudiado' 'no' 'causan' 'el' 'efecto.']",[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
11,"['Brendan' 'Gill,' 'el' 'antiguo' 'director' 'ejecutivo' 'del' 'grupo'
 'Bexar' 'County,' 'dijo' 'que' 'desde' 'entonces' 've' 'la' 'fusión'
 'como' 'un' 'movimiento' 'positivo' 'para' 'South' 'Texas.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0]
12,"['Además' 'de' 'Moussaoui,' 'los' 'dos' 'agentes' 'de' 'Al' 'Qaeda'
 'identificados' 'por' 'el' 'KSM' 'como' 'posibles' 'candidatos' 'para'
 'la' 'segunda' 'oleada' 'de' 'ataques' 'fureon' 'Abderraouf' 'Jdey,'
 'también' 'conocido' 'como']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
13,"['En' 'el' 'panorama' 'de' 'la' 'aptitud' 'física,' 'la' 'imagen,' 'la'
 'mutación,' 'la' 'recombinación' 'y' 'la' 'selección' 'pueden'
 'confubularse' 'para' 'atraer' 'a' 'las' 'poblaciones' 'en' 'evolución'
 'hacia' 'los' 'picos' 'de' 'una' 'buena' 'forma' 'física.']",[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0]
14,"['El' 'espíritu' 'de' 'liberalismo' 'prevaleciente' 'en' 'Europa' 'tardó'
 'en' 'llegar' 'a' 'España.']",[0 1 0 0 0 0 0 0 0 1 0 0]
15,"['Bueno,' 'no' 'recuerdo,' 'parecía' 'que' 'sí,' 'pero' 'podría' 'ser'
 'que' 'no,' 'supongo,' 'supongo']",[0 0 0 0 0 0 0 0 0 0 0 0 0]
16,"['McCoy' 'invita' 'a' 'apoyar' 'a' 'la' 'Fundación' 'de' 'la' 'empresa'
 'con' 'la' 'cantidad' 'de' '10' '000' '$.']",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
17,"['La' 'búsqueda' 'de' 'contribuciones' 'de' 'la' 'comunidad' 'de' 'alta'
 'tecnología' 'es' 'una' 'de' 'las' 'razones' 'por' 'las' 'cuales'
 'algunos' 'candidatos' 'han' 'hecho' 'grandes' 'esfuerzos' 'para'
 'desarrollar' 'una' 'plataforma' 'de' 'alta' 'tecnología.']",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0]
18,['Los' 'vertederos' 'de' 'la' 'historia' 'están' 'llenos' 'de' 'ruinas.'],[0 1 0 0 0 0 0 0 1]
19,"['Si' 'el' 'producto' 'incluía' 'más' 'contenido' 'nuevo' 'o' 'invención,'
 'se' 'utilizaban' 'con' 'frecuencia' 'prototipos' 'totalmente'
 'integrados' 'para' 'demostrar' 'que' 'el' 'diseño' 'cumplía' 'con' 'los'
 'requisitos.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
20,"['el' 'arte' 'de' 'exprimir' 'subvenciones' 'es' 'una' 'forma' 'de'
 'mendicidad' 'en' 'la' 'que' 'los' 'participantes' 'van' 'bien' 'muy'
 'bien' 'vestidos.']",[0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
21,"['Una' 'sonrisa' 'delgada' 'y' 'agria' 'estalló' 'en' 'los' 'altivos'
 'labios' 'del' 'oficial.']",[0 0 0 0 1 1 0 0 1 0 0 0]
22,"['El' 'martes,' 'Bush' 'advirtió:' 'Con' 'demasiada' 'frecuencia,' 'en'
 'asuntos' 'sociales,' 'mi' 'partido' 'ha' 'pintado' 'una' 'imagen' 'de'
 'Estados' 'Unidos' 'inclinándose' 'hacia' 'Gomorra.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0]
23,"['Pero' 'sospecho' 'que' 'esta' 'seriedad' 'es' 'solo' 'una' 'máscara'
 'bajo' 'la' 'cual' 'se' 'divertía' 'Lord' 'Julian' 'en' 'secreto.']",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
24,"['La' 'cooperación' 'entre' 'el' 'programa' 'y' 'las' 'divisiones' 'de'
 'integridad' 'es' 'el' 'medio' 'por' 'el' 'cual' 'se' 'abordan' 'los'
 'asuntos' 'emergentes.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1]
25,"['La' 'postura' 'de' 'la' 'administración' 'Clinton' 'es' 'que' 'internet'
 'debe' 'ser' 'una' 'zona' 'federal' 'libre' 'de' 'impuestos.']",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
26,"['El' 'crecimiento' 'económico' 'es' 'parte' 'fundamental' 'de' 'la'
 'creatividad' 'del' 'universo' 'como' 'un' 'todo.']",[0 1 0 0 0 0 0 0 0 0 0 0 0 0]
27,"['Clarke' 'mencionó' 'al' 'asesor' 'de' 'seguridad' 'nacional' 'Rice' 'al'
 'menos' 'dos' 'veces' 'que' 'las' 'células' 'durmientes' 'de' 'al'
 'Qaeda' 'probablemente' 'se' 'encuntran' 'en' 'los' 'Estados' 'Unidos.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0]
28,"['Como' 'miembro' 'de' 'Nussbaum,' 'nos' 'has' 'ayudado' 'a' 'salvar'
 'animales' 'en' 'peligro,' 'y' 'sus' 'hogares.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
29,"['Los' 'bomberos' 'del' 'condado' 'de' 'Baltimore' 'no' 'tienen' 'un'
 'programa' 'formal' 'para' 'proporcionar' 'un' 'impulso' 'financiero' 'a'
 'los' 'bomberos' 'y' 'paramédicos' 'que' 'están' 'lesionados' 'y' 'no'
 'pueden' 'trabajar.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
30,"['RH-II' 'etiqueta' 'esta' 'expresión' 'actual' 'como' 'proveniente' 'de'
 'South' 'Midland' 'y' 'del' 'sur' 'de' 'los' 'Estados' 'Unidos' 'y'
 'significa' 'estar' 'al' 'borde' 'de.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
31,"['El' 'artículo' 'de' 'Stevenson' 'muestra' 'una' 'falta' 'fundamental'
 'de' 'comprensión' 'sobre' 'lo' 'que' 'implica' 'nuestra' 'campaña.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
32,"['Más' 'La' 'encuesta' 'de' 'la' 'Liga' 'Antidifamación' 'describe' 'un'
 'descenso' 'continuado' 'en' 'el' 'núcleo' 'duro' 'de' 'antisemitas' 'en'
 'América,' 'de' 'un' '29' 'por' 'ciento' 'en' '1964' 'a' 'un' '20' 'por'
 'ciento' 'en' '1992' 'y' 'un' '12' 'por' 'ciento' 'actualmente.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0]"
33,"['Lo' 'cierto' 'es' 'que' 'la' 'comunicación' 'cruzada' 'a' 'veces'
 'puede' 'parecerse' 'a' 'las' 'tres' 'ironías,' 'dependiendo' 'de' 'la'
 'intención,' 'el' 'público' 'y' 'el' 'efecto.']",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
34,"['Un' 'nuevo' 'morfema' 'sobrevive' 'a' 'la' 'novedad' 'de' 'su' 'primera'
 'innovación' '(como' 'telethon' 'para' '-athon),' 'ya' 'que' 'resulta'
 'ser' 'útil' 'casi' 'por' 'accidente,' 'y' 'da' 'algo' 'nuevo' 'a' 'la'
 'expresión.']",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
35,"['No' 'contento' 'con' 'deshonrar' 'moralmente' 'a' 'Clinton,' 'sus'
 'adversarios' 'trataron' 'de' 'inflar' 'su' 'encubrimiento' 'del' 'caso'
 'Lewinsky' 'en' 'crímenes' 'y' 'delitos' 'imputables.']",[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
36,"['En' 'su' 'propio' 'interés' 'ilustrado,' 'cuentan' 'con' 'el' 'apoyo'
 'de' 'esta' 'incipiente' 'organización,' 'sabiendo' 'que' 'beneficiaría'
 'a' 'la' 'ciudad' 'en' 'su' 'conjunto.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
37,"['Los' 'elogios' 'para' 'la' 'señora' 'Dalloway' 'siguen' 'llegando,'
 'pero' 'también' 'emerge' 'una' 'visión' 'más' 'crítica.']",[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0]
38,"['bueno,' 'definitivamente' 'los' 'mantendremos' 'pobres' 'y' 'pisoteados'
 'e' 'indefensos']",[0 0 0 0 0 0 1 0 0]
39,"['[Se' 'debe' 'decir' 'con' 'total' 'franqueza' 'que' 'el' 'Sr.' 'Room'
 'escribió' 'tan' 'pronto' 'como' 'se' 'dió' 'cuenta' 'de' 'su' 'desliz'
 'al' 'considerar' 'Bummel' 'un' 'río.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
40,"['Fue' 'claro' 'que' 'la' 'agencia' 'líder' 'de' 'respuesta' 'fue' 'el'
 'Departamento' 'de' 'Bomberos' 'de' 'Nueva' 'York,' 'y' 'que' 'las'
 'otras' 'agencias' 'locales,' 'federales,' 'biestatales' 'y' 'estatales'
 'que' 'respondieron' 'actuaron' 'en' 'un' 'rol' 'de' 'apoyo.']",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
41,"['En' 'el' 'régimen' 'caótico,' 'se' 'filtra' 'el' 'mar' 'verde'
 'centelleante.']",[0 0 0 0 0 1 0 0 0 1]
42,"['Un' 'bote' 'que' 'se' 'había' 'acercado' 'y' 'que' 'había' 'pasado'
 'desapercibido' 'desde' 'la' 'orilla' 'llegó' 'rayando' 'y' 'chocando'
 'contra' 'el' 'gran' 'casco' 'rojo' 'del' 'Arabella,' 'y' 'una' 'voz'
 'estridente' 'lanzó' 'un' 'gran' 'grito.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0]
43,"['La' 'empresa' 'está' 'preparada' 'para' 'reestructurarse' 'y'
 'satisfacer' 'las' 'necesidades' 'cambiantes' 'del' 'negocio.']",[0 0 0 0 0 0 0 0 0 0 0 0 0]
44,"['Aunque' 'este' 'planteamiento' 'les' 'resulte' 'bastante' 'razonable'
 'a' 'los' 'naturalistas,' 'es' 'uno' 'de' 'los' 'planteamientos' 'más'
 'controversiales' 'para' 'reconciliar' 'la' 'fe' 'y' 'la' 'razón.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
45,"['El' 'movimiento' 'islámico,' 'que' 'nació' 'sobre' '1940,' 'es' 'un'
 'producto' 'del' 'mundo' 'moderno,' 'influenciado' 'por' 'conceptos'
 'marxistas-leninistas' 'sobre' 'organización' 'revolucionaria.']",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
46,"['La' 'naturaleza' 'igualmente' 'caprichosa' 'de' 'las' 'definiciones'
 'contraviene' 'la' 'descripción.']",[0 0 0 0 0 0 0 0 0 0]
47,"['Estos' 'enlazan' 'las' 'principales' 'playas' 'públicas' '(desde'
 'Warwick' 'Long' 'Bay' 'hasta' 'la' 'bahía' 'de' 'Horseshoe).']",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
48,"['...los' 'escritores' 'de' 'naturaleza' 'más' 'considerados' 'y'
 'motivadores' 'del' 'mundo.']",[0 0 0 0 0 0 0 0 0 0]
49,"['Podemos' 'seguir' 'reforzando' 'la' 'educación' 'de' 'buenos'
 'abogados.']",[0 0 1 0 0 0 0 0]
50,"['Lo' 'que' 'pienso' 'de' 'usted' 'puede' 'ser' 'muy' 'poco' 'para'
 'usted,' 'señor.' 'Esto' 'fue' 'un' 'golpe' 'desarmado.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1]
51,"['En' 'un' 'instante,' 'el' 'capitán' 'Blood' 'vio' 'lo' 'que' 'tenían'
 'en' 'mente.']",[0 0 0 0 0 0 0 0 0 0 0 0]
52,['La' 'amenaza' 'que' 'venía' 'no' 'era' 'de' 'células' 'durmientes.'],[0 0 0 0 0 0 0 1 1]
53,"['Las' 'esperanzas' 'han' 'aumentado,' 'y' 'también' 'se' 'han'
 'desvanecido,' 'sobre' 'los' 'cítricos' 'y' 'la' 'piña' 'de' 'las'
 'Bahamas.']",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
54,"['Es' 'una' 'pena' 'que' 'la' 'controversia' 'provocada' 'por'
 'Finkelstein' 'haya' 'eclipsado' 'a' 'su' 'coescritora,' 'Birn.']",[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
55,"['¡Todavía' 'nos' 'queda' 'mucho' 'para' 'alcanzar' 'nuestra' 'meta' 'de'
 '365' '000' '$' 'de' 'amigos' 'y' 'suscriptores' 'como' 'tú!']",[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
56,"['Estas' 'cosas' 'están' 'fuera' 'del' 'hombre,' 'mientras' 'que' 'el'
 'estilo' 'es' 'el' 'hombre' 'en' 'sí' 'mismo']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
57,"['Los' 'liberales' 'negros,' 'como' 'los' 'profesores' 'Henry' 'Louis'
 'Gates' 'y' 'Cornel' 'West,' 'mantienen' 'la' 'fe' 'integracionista.'
 'Junto' 'a' 'ellos' 'está' 'el' 'economista' 'negro' 'Glenn' 'Loury,'
 'un' 'conservador' 'que' 'rompió' 'filas' 'para' 'respaldar' 'la'
 'acción' 'afirmativa' 'como' 'una' 'política' 'necesaria.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0]"
58,"['Por' 'ejemplo,' 'la' 'palabra' 'diagnóstico' 'fue' 'tomada' 'prestada'
 'de' 'una' 'palabra' 'griega' '(que,' 'dicho' 'sea' 'de' 'paso,' 'no'
 'significaba' 'lo' 'mismo);' 'doscientos' 'años' 'después,' 'el' 'verbo'
 'diagnosticar' '(una' 'formación' 'posterior)' 'fue' 'acuñado.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
59,"['Sullivan' 'invoca' 'el' 'mantra' 'del' 'tratamiento' 'igualitario'
 'como' 'si' 'fuera' 'el' 'fin' 'de' 'las' 'discusiones.']",[0 1 0 1 0 0 0 0 0 0 0 0 0 0 0]
60,"['Al' 'medir' 'la' 'efectividad,' 'la' 'perfección' 'es' 'inalcanzable.']",[0 0 0 0 0 0 0 1]
61,"['Por' 'tanto,' 'debo' 'decirte' 'por' 'qué' 'el' 'Center' 'on'
 'Philanthropy' 'también' 'merece' 'tu' 'apoyo.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 1]
62,['Esas' 'localizaciones' 'están' 'todas' 'cerca' 'de' 'Atlanta.'],[0 0 0 0 0 0 0]
63,"['La' 'tecnología' 'está' 'muy' 'integrada' 'en' 'los' 'procesos'
 'empresariales' 'en' 'estas' 'organizaciones,' 'porque' 'se' 've' 'como'
 'una' 'ventaja' 'para' 'el' 'negocio,' 'no' 'solo' 'una' 'herramienta.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
64,"['Mi' 'esperanza' 'es' 'que' 'hayas' 'sido' 'muy' 'bendecido' 'y'
 'alentado' 'por' 'este' 'problema.']",[0 0 0 0 0 0 0 1 0 0 0 0 0]
65,"['Ser' 'un' 'generador' 'de' 'valor,' 'un' 'socio' 'enfocado' 'en' 'el'
 'cliente' 'en' 'los' 'resultados' 'comerciales']",[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
66,"['De' 'hecho,' 'las' 'gigantescas' 'nubes' 'moleculares' 'frías' 'que'
 'hay' 'en' 'las' 'galaxias,' 'sobre' 'grados' 'absolutos' 'en'
 'temperatura,' 'son' 'mezclas' 'muy' 'complejas' 'de' 'especies'
 'moleculares,' 'muchas' 'carbonosas,' 'así' 'como' 'el' 'lugar' 'de'
 'nacimiento' 'de' 'las' 'estrellas.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
67,"['Fue' 'ella' 'ahora' 'la' 'que' 'la' 'defendía,' 'su' 'voz' 'temblaba'
 'con' 'indignación.']",[0 0 0 0 0 0 0 0 0 1 0 0]
68,['estoy' 'tratando' 'de' 'aguantar' 'allí'],[0 0 0 0 0]
69,"['Pickard' 'recuerda' 'la' 'presunta' 'aseveración' 'que' 'se' 'hizo' 'en'
 'una' 'sesión' 'informativa' 'el' '12' 'de' 'julio.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
70,"['Una' 'vez' 'que' 'se' 'toman' 'estas' 'decisiones,' 'la' 'organización'
 'de' 'CIO' 'debe' 'proporcionar' 'un' 'soporte' 'efectivo' 'y'
 'receptivo' 'a' 'través' 'de' 'la' 'asignación' 'eficiente' 'de'
 'recursos' 'y' 'la' 'ejecución' 'diaria' 'de' 'sus' 'responsabilidades.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
71,"['Había' 'encontrado' 'la' 'única' 'forma,' 'y' 'aunque' 'no' 'le'
 'gustara,' 'debía' 'hacerlo.']",[0 0 0 0 0 0 0 0 0 0 0 0]
72,"['El' 'segundo' 'nivel' 'de' 'falsedad' 'es' 'que' 'Brock' 'defiende' 'a'
 'Hillary' 'sólo' 'para' 'elevar' 'su' 'propio' 'escándalo' 'de'
 'propiedad.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
73,['Programamos' 'nuestra' 'entrada' 'en' 'el' 'futuro' 'tecnológico.'],[0 0 1 0 0 0 0]
74,"['Le' 'invitamos' 'a' 'participar' 'en' 'Futures' 'for' 'Children'
 'patrocinando' 'a' 'un' 'niño' 'indígena' 'estadounidense' 'o'
 'haciéndose' 'socio' 'para' 'apoyar' 'nuestros' 'proyectos' 'de'
 'educación' 'comunitaria.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
75,"['Los' 'cupones' 'especiales' 'se' 'han' 'entregado' 'agresivamente' 'en'
 'las' 'playas' 'durante' 'el' 'día,' 'con' 'la' 'esperanza' 'de' 'atraer'
 'a' 'la' 'multitud' 'más' 'grande' 'posible' 'para' 'la' 'noche.']",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
76,"['Cuando' 'el' 'cupón' 'de' 'viajes' 'se' 'está' 'procesando,' 'el'
 'sistema' 'automatizado' 'puede' 'comparar' 'la' 'información' 'de' 'los'
 'cargos' 'actuales' 'que' 'procesa' 'la' 'empresa' 'de' 'la' 'tarjeta'
 'de' 'crédito' 'con' 'los' 'que' 'figuran' 'en' 'el' 'cupón.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
77,"['Esperamos' 'con' 'interés' 'su' 'apoyo' 'continuo' 'y' 'trabajar' 'aún'
 'más' 'estrechamente' 'con' 'usted' 'y' 'su' 'personal' 'este' 'año' 'y'
 'en' 'el' 'año' 'fiscal' '2002.']",[0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
78,['Esta' 'es' 'la' 'última' 'retirada' 'Republicana.'],[0 0 0 0 0 0]
79,"['La' 'tecnología,' 'aunque' 'supuestamente' 'indispensable,' 'nos' 'ha'
 'hecho' 'ir' 'a' 'la' 'velocidad' 'de' 'la' 'luz.']",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
80,"['La' 'tapadera' 'debate' 'si' 'el' 'objetivo' 'de' 'la' 'OTAN' 'debería'
 'ser' 'desguazar' 'Kosovo' 'o' 'administrarlo' 'como' 'un'
 'protectorado.']",[0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
81,"['Los' 'sondios' 'distrajeron' 'al' 'capitán' 'Blood' 'de' 'sus'
 'pensamientos' 'descontentos.']",[0 0 0 0 0 0 0 0 0 0]
82,"['Además,' 'haz' 'que' 'las' 'limitaciones' 'de' 'los' 'datos' 'sean'
 'claras,' 'para' 'que' 'no' 'se' 'extraigan' 'conclusiones' 'incorrectas'
 'o' 'no' 'intencionadas' 'de' 'los' 'mismos.']",[0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0]
83,"['Los' 'Estados' 'Unidos' 'defendieron,' 'y' 'todavía' 'defienden,' 'a'
 'los' 'musulmanes' 'contra' 'tiranos' 'y' 'criminales' 'en' 'Somalia,'
 'Bosnia,' 'Kosovo,' 'Afganistán,' 'e' 'Irak.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
84,"['Sería' 'extremadamente' 'difícil' 'para' 'un' 'abogado' 'de' 'servicios'
 'legales' 'en' 'California' 'saber' 'si' 'un' 'cliente,' 'que' 'ha'
 'estado' 'trabajando' 'en' 'la' 'corriente' 'migratoria' 'en' 'Arizona,'
 'ha' 'cruzado' 'temporalmente' 'la' 'frontera' 'hacia' 'México.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
85,"['También' 'demuestran' 'una' 'reducción' 'de' 'la' 'confianza' 'en' 'sí'
 'mismos' 'y' 'de' 'la' 'motivación,' 'expresando' 'dudas' 'respecto' 'a'
 'su' 'propia' 'habilidad' 'y' 'evitando' 'enfrentarse' 'a' 'problemas.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
86,"['Además,' 'hasta' 'donde' 'sabemos,' 'la' 'vida' 'surgió' 'aquí' 'en'
 'la' 'tierra' 'sólo' 'una' 'vez.']",[0 0 0 0 0 0 1 0 0 0 0 0 0 0]
87,['Otras' 'pruebas' 'corroboran' 'su' 'cuenta.'],[0 0 0 0 0]
88,"['Me' 'sorprendió' 'la' 'mención' 'de' 'Rebecca' 'Christian' 'en'
 'Blessed' 'Be' 'the' 'Words' 'That' 'Bind' ""'[XVI,"" '3]' 'de' 'la'
 'canción' 'de' 'Vikki' ""Carr,'"" 'Is' 'That' 'All' 'There' 'Is' ""'?""]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
89,"['Tal' 'composición' 'sin' 'duda' 'daría' 'la' 'impresión' 'que' 'la'
 'sección' 'de' 'cuerda' 'de' 'repente' 'se' 'había' 'prendido' 'fuego.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
90,['Las' 'palabras' 'que' 'no' 'encajan' 'no' 'se' 'pueden' 'devolver.'],[0 0 0 0 1 0 0 0 0]
